booth_number,candidate_1_votes,candidate_2_votes,candidate_3_votes,candidate_4_votes,candidate_5_votes,candidate_6_votes,candidate_7_votes,candidate_8_votes,candidate_9_votes,candidate_10_votes
894,6542,2352,1115,8514,4191,9554,7797,3738,9785,1853
895,9651,7071,2056,4959,149,431,8276,104,1688,2388
896,5958,3192,689,5093,3924,9388,5057,5496,2034,8672
897,6119,1445,863,4925,757,6161,9911,4909,8371,8883
898,4474,7103,2659,8409,3145,2478,1068,3595,7358,6953
899,2902,9277,6229,5885,7870,2598,1822,151,8722,3689
900,7972,4081,2512,4236,961,5081,3565,5019,1205,2109
901,4363,6127,8676,2041,7466,2617,2258,3348,741,984
902,3525,5728,1285,4634,4890,8042,9936,4207,2315,3489
903,8937,492,7070,8728,4196,5660,7241,1554,1735,984
904,1515,4175,2015,1377,3384,9317,6645,8619,5354,8691
905,4421,9743,2847,9308,3851,8895,2122,5186,2182,7401
906,7938,4411,1580,5564,8447,6128,6192,1221,7859,8857
907,5566,710,5567,7479,1447,9227,3922,1196,9633,816
908,2711,7816,7018,43,6214,6079,6640,136,9678,8503
909,364,5175,5517,1760,5889,8012,3759,4155,6559,5038
910,1233,5936,9853,3870,1067,9237,3410,7292,7465,6217
911,2111,3653,916,7524,366,6333,1554,3593,8426,2365
912,213,5363,6079,5200,4017,5950,157,5590,4809,5917
913,5119,2233,9712,2481,7084,8936,4257,3023,350,9098
914,2287,6780,4376,8836,6471,6018,3604,3240,3446,3580
915,8508,7283,8042,901,9239,4124,9945,3894,3348,6418
916,5914,947,4022,6505,1316,9354,9396,7057,8345,1790
917,9763,8110,3867,5264,8099,4248,5481,3115,364,354
918,8029,1550,7973,70,3893,3645,6004,4807,4694,6506
919,2246,7431,6064,8199,5753,9833,370,3845,1443,4339
920,2995,7579,2176,8399,2177,847,1697,7283,3465,5940
921,4686,2802,1309,2607,5706,6822,658,7381,149,178
922,2633,9191,5230,3033,9508,4810,7865,5433,4205,2982
923,297,6,2153,8350,7101,2690,1449,7054,6204,5106
924,2904,662,7575,9695,5260,7870,4913,3919,6400,3571
925,5678,4740,7133,7662,5381,9954,9453,4479,5536,1281
926,5154,7244,3466,3860,6590,3479,4895,2976,8493,8938
927,7634,124,9876,5297,1166,4800,4698,2630,1184,9445
928,4461,1619,7298,6956,8832,5674,9867,1798,1723,8549
929,2270,1608,1693,2875,9229,6789,6605,3184,6511,5237
930,3099,7029,4235,1777,5018,9003,4768,3978,4498,2555
931,4876,1607,5897,872,1314,2466,2166,4671,1740,2518
932,6172,4351,1468,5012,649,5258,8446,254,202,4785
933,9622,4601,6723,7157,5569,5105,7435,3388,3907,68
934,8562,4203,143,3347,6739,829,7649,1713,1594,2814
935,2722,4730,2610,2325,1063,6372,1901,8387,5327,5541
936,7389,7466,7946,8788,3004,1685,3429,7403,9538,7703
937,5651,1792,8519,5708,2306,6069,4112,3671,8686,6107
938,3042,5837,7044,7214,6627,7082,9736,7708,3042,5748
939,9501,7049,312,4323,4157,3904,2240,3749,5050,3407
940,2028,5466,3014,9995,3671,383,7925,8129,6074,5431
941,7628,622,5558,3027,8477,2058,3425,3372,5111,2821
942,1884,8099,8990,8699,7117,3235,6532,169,2497,5516
943,9536,1646,1936,3720,2943,5598,8059,5974,5549,6099
944,1663,1826,2271,7124,7131,5878,8453,6797,3985,6948
945,5095,1674,8291,1571,1601,9740,9029,9192,9971,2429
946,6898,2099,9134,217,972,9956,4247,5666,7428,5887
947,7714,6744,4165,9361,3007,7543,6603,2055,541,1947
948,237,520,6904,5587,8294,1799,8795,4940,1156,8649
949,3156,8651,5010,874,8027,4084,4395,3172,2513,2047
950,8176,12,2019,7850,685,685,8562,8468,4639,8172
951,9286,4791,8884,4792,7249,53,1967,1613,5624,7221
952,3624,7624,9740,5730,239,327,4309,4484,8413,8132
953,8694,5469,5218,1847,5124,4960,8726,5413,1648,5588
954,4144,892,6823,32,1479,6970,6284,8313,4435,8904
955,4258,9163,5202,635,5040,7399,4387,9049,3544,691
956,5162,7707,2812,7856,9990,5779,5456,8143,66,7234
957,6753,4236,6183,314,398,9706,7207,1724,806,3442
958,2293,1252,3005,2217,2961,8188,7562,5021,4477,9985
959,9006,9057,1693,9585,4389,8980,3030,520,5528,9233
960,4016,253,2074,7954,5101,6753,3831,7967,2175,9279
961,4047,6765,8937,2509,7355,3632,7309,2463,6088,1670
962,4844,6296,9723,4370,1632,3017,9934,1224,4830,9196
963,3749,1667,8763,1307,7476,565,7009,3150,3025,4843
964,2381,7668,7190,9520,9267,4277,2349,3125,5685,7261
965,3357,8306,5039,9126,1635,6548,9750,1476,9531,3319
966,3480,3660,838,8106,4689,9515,3093,7549,1159,4184
967,6225,9716,6759,5717,8278,4501,3038,4859,384,5372
968,3566,6444,400,3408,162,4864,1349,3770,9979,4021
969,7220,2115,9682,1764,9158,6307,6275,1628,9805,5382
970,9125,6110,6897,3246,1318,8729,3982,8732,1754,9327
971,4105,936,4601,3715,517,2218,1187,5657,4875,7405
972,6397,3504,6881,1665,6047,3364,1670,8369,5564,8475
973,533,7477,5134,727,906,593,697,6452,1087,2608
974,9896,2073,4811,5538,3910,9374,4341,8505,492,2675
975,6182,5559,9659,4139,4941,3129,3740,2742,2004,6834
976,7861,9755,987,9615,2985,4214,4094,4538,6785,6149
977,5167,4702,2442,4417,4468,995,2183,2225,1322,4396
978,1417,9955,9387,7977,8176,2860,3588,2579,2307,7315
979,688,4010,126,4797,7015,3665,623,316,8159,7947
980,9475,3100,8702,9707,4973,1440,5328,3799,5584,9064
981,6882,7172,6382,2575,901,6644,975,2589,1599,6004
982,4965,1955,7204,578,376,6761,1621,1989,9489,3714
983,630,8957,2853,3806,6502,3603,731,3606,7416,5700
984,4076,5517,4288,408,9742,9415,3724,6102,4235,7031
985,632,3112,2963,8469,4280,4081,2416,7153,3200,5834
986,5201,5010,7449,4306,7456,4224,6779,7420,4931,7347
987,8147,5978,6718,2476,1938,1035,4285,2621,8814,2683
988,8835,9973,3582,5865,4118,5047,8672,5604,7208,7629
989,6251,316,6084,6976,3916,5542,9104,7528,7576,9835
990,3275,2102,8998,343,966,4457,6957,4217,3562,7552
991,7896,6978,2443,6679,5828,5939,431,5002,6640,4433
992,8979,8357,8588,623,8543,2523,7562,7276,9953,9228
993,5513,3362,9552,3418,8282,6173,7671,4608,6186,7465
994,7147,5206,3985,8326,4792,8572,4815,8283,7099,9489
995,4177,8039,7593,8930,84,1392,1659,4958,9207,6091
996,8731,9581,8562,9590,6989,8320,7710,7619,4943,4447
997,5951,5432,7089,5815,9619,5881,2566,641,8816,760
998,3346,6108,467,9778,1600,7823,5425,6593,820,1832
999,6286,5950,2191,5941,6608,1701,8321,6235,8099,2644
1000,3914,4879,7473,9099,4175,1604,3422,7167,9647,136
